months;ICO composite indicator;Colombian Milds;Other Milds;Brazilian Naturals;Robustas
01/06/2015;2,75872E+16;3,35585E+15;3,52671E+16;2,88102E+16;1,99227E+16
01/07/2015;2,64393E+15;3,19029E+16;3,40949E+16;2,72936E+16;1,92318E+16
01/08/2015;2,67572E+15;3,24415E+15;3,46402E+16;2,80883E+16;1,8936E+16
01/09/2015;2,49757E+16;2,99227E+15;3,22627E+15;2,6011E+16;1,79912E+16
01/10/2015;2,61435E+16;3,15894E+15;3,383E+16;2,81391E+16;1,82737E+15
01/11/2015;2,53929E+16;3,06026E+15;3,26667E+15;2,71413E+16;1,80442E+16
01/12/2015;2,53046E+16;3,08808E+15;3,28168E+14;2,73135E+16;1,75011E+16
01/01/2016;2,4479E+16;2,98477E+14;3,20155E+16;2,67572E+15;1,64923E+16
01/02/2016;2,46689E+16;3,02804E+16;3,26049E+16;2,69845E+15;1,63444E+16
01/03/2016;2,6011E+16;3,2053E+16;3,47682E+14;2,87815E+15;1,66887E+14
01/04/2016;2,60331E+16;3,1713E+16;3,40442E+15;2,82781E+16;1,76998E+16
01/05/2016;2,64702E+16;3,18962E+14;3,42583E+16;2,84879E+14;1,85276E+16
01/06/2016;2,80464E+16;3,46269E+15;3,65232E+15;3,05475E+15;1,89713E+15
01/07/2016;2,93554E+16;3,63046E+16;3,79161E+15;3,19558E+15;2,00486E+14
01/08/2016;2,89183E+16;3,54923E+16;3,69845E+16;3,12163E+16;2,02627E+15
01/09/2016;3,05121E+14;3,72737E+16;3,89183E+16;3,30684E+15;2,13863E+15
01/10/2016;3,14967E+16;3,80309E+15;3,95055E+15;3,38079E+15;2,28808E+16
01/11/2016;3,21898E+15;3,92605E+15;4,06446E+15;3,48168E+14;2,28962E+14
01/12/2016;2,90728E+14;3,45784E+16;3,5713E+16;3,02737E+16;2,24834E+16
01/01/2017;3,06998E+15;3,6415E+15;3,72208E+15;3,21634E+16;2,39117E+16
01/02/2017;3,03929E+16;3,61302E+16;3,67219E+16;3,21192E+16;2,35077E+15
01/03/2017;2,9596E+15;3,49669E+15;3,53532E+16;3,08322E+16;2,35607E+16
01/04/2017;2,87837E+15;3,42097E+16;3,43046E+14;3,00419E+15;2,28653E+16
01/05/2017;2,76821E+16;3,34238E+16;3,31126E+15;2,89647E+15;2,1713E+16
01/06/2017;2,70177E+16;3,22561E+16;3,16159E+16;2,73091E+16;2,25055E+15
01/07/2017;2,80927E+16;3,36667E+16;3,30375E+15;2,85188E+16;2,31656E+16
01/08/2017;2,83091E+15;3,42494E+16;3,30861E+16;2,91236E+15;2,30728E+16
01/09/2017;2,74746E+15;3,34371E+15;3,23532E+16;2,86247E+15;2,1894E+16
01/10/2017;2,64923E+16;3,18455E+15;3,10618E+16;2,74945E+16;2,17196E+16
01/11/2017;2,58852E+15;3,18079E+16;3,11038E+16;2,74349E+16;2,01611E+16
01/12/2017;2,51656E+16;3,12627E+15;3,03355E+15;2,68146E+15;1,93355E+16
01/01/2018;2,55188E+15;3,17373E+15;3,06424E+15;2,73002E+16;1,95695E+16
01/02/2018;2,52075E+16;3,12362E+16;3,00839E+15;2,66733E+16;1,96998E+16
01/03/2018;2,49426E+16;3,07837E+15;2,98079E+15;2,64459E+16;1,94658E+15
01/04/2018;2,48477E+16;3,07483E+16;2,96556E+16;2,62163E+15;1,94945E+15
01/05/2018;2,50199E+16;3,09625E+15;2,9936E+15;2,63951E+16;1,95894E+16
01/06/2018;2,43797E+15;3,0585E+16;2,95872E+15;2,54084E+16;1,9E+16
01/07/2018;2,36645E+14;2,95629E+16;2,883E+16;2,44018E+15;1,86358E+16
01/08/2018;2,26071E+16;2,86954E+16;2,76402E+16;2,30596E+15;1,78234E+16
01/09/2018;2,16711E+15;2,77572E+16;2,67506E+15;2,20464E+16;1,69316E+16
01/10/2018;2,45497E+15;3,10883E+16;3,03179E+16;2,55166E+16;1,88344E+16
01/11/2018;2,41921E+15;3,07439E+14;3,02671E+15;2,50044E+16;1,84371E+15
01/12/2018;2,22097E+15;2,82252E+16;2,80574E+16;2,25386E+16;1,71236E+16
