Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
   Czech Republic;0;0;30;660;450;420;500;760;2410;1700;2490;2660;2460;3510;3240;4070;3090;3580;4160;4050;4810;3800;4410;5460;;;;;
   Denmark;940;740;1030;1030;1250;1190;1110;1410;1600;2250;2310;2350;2710;2780;2710;1990;1820;2010;2120;1840;2080;1470;1130;990;;;;;
   Estonia;;;30;70;200;250;330;420;450;360;80;540;90;190;470;760;870;1760;1810;2340;1580;1000;530;360;;;;;
   Finland;190;210;350;1980;2170;970;1720;2050;1860;2150;1720;1480;1190;1220;1290;540;1210;1500;1700;1850;1930;1940;1560;1810;;;;;
   France;9130;10070;10230;9760;11650;10810;11820;11660;11930;11410;10730;12670;12640;13280;10400;10280;9570;9010;9640;10140;10600;10430;10190;10140;;;;;
   Germany;32920;32520;33180;32820;34690;32200;36130;39350;40630;39720;48250;53440;62880;65180;70110;83560;91770;106970;104710;108190;115420;116830;125900;120200;;;;;
   Greece;110;200;290;2270;1460;1390;510;500;370;920;1110;3200;710;690;710;600;410;660;780;720;680;1320;1680;1690;;;;;
   Hungary;0;2610;1740;1110;470;720;320;730;630;1050;1570;1860;1900;2180;2700;2820;3030;3710;3170;2590;3510;4600;4960;3810;;;;;
   Ireland;100;50;40;30;30;80;110;90;100;70;720;340;340;750;360;300;520;170;160;80;80;300;370;380;;;;;
   Italy;3830;4020;4650;6640;7860;7490;8260;8260;9460;10230;11560;12900;13410;14100;15590;17080;19380;21880;22770;22720;24460;26630;29640;31830;;;;;
   Latvia;;;10;180;170;150;160;240;250;170;190;60;190;270;330;470;400;200;390;440;390;400;560;660;;;;;
   Lithuania;;;0;0;100;450;830;790;500;480;390;630;550;480;590;900;1030;1050;1870;2010;1530;1090;1430;1650;;;;;
   Luxembourg;;;;;;;;;;840;880;760;800;990;950;1040;1020;1090;1130;1080;1170;1110;1110;1370;;;;;
   Malta;10;30;20;10;20;10;0;10;40;0;0;0;10;0;0;0;0;0;0;0;0;10;0;0;;;;;
   Netherlands;5850;6330;6480;4250;6780;6170;5750;5570;9010;10940;11060;11170;11860;14330;11810;10610;11640;12390;9810;16040;12360;17690;13470;17810;;;;;
   Poland;1000;70;1370;1260;1000;1340;1690;2870;3280;4180;5310;4970;4420;4220;4060;5240;6610;7090;7790;11610;11230;13700;16070;16150;;;;;
   Portugal;310;340;400;380;520;740;990;1080;960;990;1230;1160;1140;1100;830;1070;1140;1520;1490;1660;1970;2100;2280;2120;;;;;
