Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
India;19791479994;17273589994;18163410004;21015930003;24960849996;24672570006;31031759998;26401110013;34868300027;36219589989;42287878502;37297010005;35501299989;37070660016;36473365209;28289324247;35782750866;33194056657;33766686651;30065624631;46472811106;54140105768;5043961929;50326385291;51309142699;52622938866;60861197369;65415010488;59672246041
Indonesia;69032269994;61707960001;46036959999;56620940006;46046299989;39465850006;644028;57550779999;55980319992;51150269995;535759886;52434050012;4285830001;47947200006;54555989996;674409393;52804349134;41494101006;57406730453;79072735156;54891475563;3919891883;82057408259;92548073308;61748097126;83786875964;65453920455;81975739739;45388390548
Jamaica;149839996;167049999;224269995;243539995;158269995;263230003;272850003;296820001;169810004;24228;2891593;281909991;263730004;245077825;291904905;153134398;246042409;227331535;207753657;248305172;154349302;160598548;149194512;15053724;102486926;118739809;112239986;102324055;97515687
Kenya;1969338;1557532;1384291;14387990001;1358411;14500460001;1901584;1159095;841489;111407;132830814;1095882;735704;919569;753598;67314;597133;817466;608429;524748;5310926567;609163192;8028862824;8145422481;7987267892;7120561288;7270431516;7096382353;7530309147
Lao People's Democratic Republic;983329992;983329992;10185;1416669996;1530;1652329992;1441669992;1100829996;1116879996;1913359992;2545989996;1981189985;278067;23265;26706666;2368999992;1198643382;2516878422;2581046117;2638617763;2878578314;4209658948;3597618969;3996511097;369726347;4031699016;3857797409;3855876533;3610216345
Liberia;22411;0;0;0;0;0;0;0;3244;15209;3583;7227;5775;6604;0;78;446;23353334;173;912;72159996;78793162;28109667;35393333;13456667;35200001;2955;110116667;77333333
Madagascar;8630399999;587658;736406;627783;435621;5851879998;7180490001;480233;796116;464383;216232;87257;145329;11895;127034;96016;17872;994513715;1961874116;396371367;735849035;1439107205;789174707;1661384486;1378095917;593255179;53302978;636632114;64757661
Malawi;124154;99535;128022;103574;78469;91633;60151;6017;586;5431;61488;63712;4397;48882;25737;20867;1742;18875;20554;17575;81198898;258532829;195299992;287297071;255353073;178592197;221486775;126223955;12079999
Mexico;36831040021;35308200019;33320409999;32636160007;27890460003;36264919986;46334970009;45024240011;33990260009;43576250021;53036903414;33331659985;26446589999;25955929985;23619313219;19848029797;25700749433;29123017258;24480008062;28380964497;24975399854;29065175744;3556455805;3132049713;24795268094;24579965011;22329130734;29106499645;28881404815
Nepal;0;0;0;83167;0;25;833333;666667;333333;0;66666;66666;1166664;18589988;14566661;11433329;13865629;19198957;10365625;1508308;10366255;37482843;14285702;12203518;8629222;20245748;20712779;9745111;18452526
Nicaragua;6711839999;3920529999;635946;4764660004;6235139996;6811789992;8223559998;7140030004;9405839991;9841939994;13666234;13645919995;9554019993;10132369996;13113499996;10025431542;14453033968;12593465787;16251105737;13739991304;17118160583;14677097989;19873021469;16605499878;19006373843;17531587845;19634673074;24486379304;23000350324
Nigeria;3582;922;11391;10304;7873;15191;69240001;6905;98969999;8576;67439999;6855;53099999;89789998;56191904;83579018;279514577;94129532;18876655;6424879;30441525;65539994;16620094;7212691;14323063;28628523;14005618;257984;30129175
Panama;131654;1242;1254040001;129286;76486;180533;138598;124107;145123;117981;72034;56933;82697;86101;99145;903745078;1069430052;1088952921;1139523965;58994871;653353264;530888441;505928326;485491876;510247939;497142205;55585032;501411407;468935146
