Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
Saudi Arabia;2750530106;3431240019;2318720041;1442319991;1069359991;2905890066;2811200026;2147260014;3439040019;364853011;4127469918;3890;4540;4740;5660;5960;6440;7580;8310;8540;9550;10300;12150;13320;13830;16840;13710;15320;12460
Singapore;12144419992;10994719995;15522749988;16145749997;17702169984;10410610001;8621190006;11001969998;6979910021;8696700021;9441509265;10520;11190;9910;13930;12640;10150;8790;7670;5820;6240;6440;7610;6810;7670;8740;6810;6990;8070
Solomon Islands;3400008;2779995;16666;16666;16666;16666;16666;241666;21;21;21;0;10;0;30;40;80;110;110;100;100;50;100;20;70;100;30;20;10
Syrian Arab Republic;2625;1660760004;1808340005;2289680035;1853840004;2000400011;2185669981;209490007;2682409994;2767880018;2213109974;6410;4500;2080;3440;4080;2660;5940;3470;7250;5010;6050;4780;4370;4630;4230;4030;4600;4600
Taiwan;1460630029;1838690002;1734719962;1567210035;2128770111;1664309969;2095160051;2539440112;2682190023;3180869979;4021509605;4430;4780;4910;3610;3250;2950;3580;3190;3600;4530;4700;4760;5570;5830;6670;6980;8510;7890
Tonga;1449986;2500008;2220031;3019987;4160021;1950014;428004;2310031;3210007;3650023;8373201;10;10;10;0;10;10;30;10;20;20;20;20;20;10;10;10;10;10
Turkey;1403720053;1645920074;1712720018;2196220065;1423920007;2010129989;2518499992;2529830082;295810002;2680270088;291637228;2940;3630;3720;4110;4720;5090;5300;5000;5340;6250;6560;7230;8420;9870;12490;11920;14740;14640
United Arab Emirates;792689997;937570008;1165480052;1029150026;937030148;1149690083;137796001;1248539961;1,74653E+16;1,60413E+16;1892080206;2468269935;2412719898;2247929765;2990169901;3,56721E+16;3176859632;3241408718;3199347069;3453927122;2961447724;3499362792;3690;4680;4630;5300;6060;8450;11180
Vanuatu;4109974;2690028;5780011;3520033;4540018;3179994;4170006;5297723;2105663;2914403;9195149;3942921;4189446;19189997;3579997;9888965;385505;13357493;12717905;8057419;15675066;15580063;10;20;20;10;20;40;60
Caribbean;477843487;5,7591E+15;390571508;4,47247E+15;621224962;447292997;5,22423E+15;453696461;1,44734E+16;2171812518;1784560804;1207901661;1,57078E+16;1,29987E+16;1481320082;1550443394;988760944;91784185;1,5166E+16;1967954683;2029282953;1,52906E+16;2160;2030;2430;2370;2230;1640;1690
Anguilla;90012;55;789998;3300008;3000014;370021;320008;3490029;8410018;6690039;762;7630003;8760008;7402383;6935625;4698862;5298489;4106894;6143534;9165362;9814305;899981;10;10;0;0;0;0;0
Antigua and Barbuda;7180094;601999;303316;2614906;3209906;3319906;1065094;11031414;1696746;1858586;10188692;10879299;4531414;693316;552316;11046409;11386682;13795776;13360094;17144474;19495387;34425651;30;20;20;30;20;40;40
Aruba;162219997;49940003;15448254;53028306;73861654;70549815;53215095;51691695;51708161;153416415;115339993;131089979;109849986;11893604;10084952;1057356;11752508;11184032;8568184;34550839;18211407;16374038;20;20;40;50;30;50;80
Bahamas;83570038;85040004;75600014;82460055;156170023;133050003;118170003;94779986;6189525;62467401;131992638;149059338;122895821;173906436;15785765;128917129;121437725;116578403;178248717;137393238;144505987;103116042;150;140;130;170;130;110;70
Barbados;35100049;34340037;3257;25710025;38959999;49879989;6783996;58780004;8569005;68590038;6940999;78920004;101209981;90789999;108839977;49659644;47113881;4360269;45127885;51670238;47824164;41753202;50;50;50;60;50;50;70
Cayman Islands;2550006;4780003;3850012;2560014;2540003;3740015;2670011;2980002;19260006;2320007;306;2720008;571;20230002;39;173316;303316;173316;65;866684;195;195;20;20;30;30;40;130;120
Dominica;9996;5090016;4950036;2830027;6230062;1760011;2988004;10660017;6900037;4900027;15339998;6199999;11019995;17480002;18379993;7427143;2499892;3018747;3367945;4373604;4445426;3959083;0;0;60;10;0;10;0
Grenada;6450029;4189986;2910025;486001;4880025;3830006;8640009;3329999;6160014;5160002;6593172;7453156;7646844;8463164;5644812;6331807;683512;5442054;10262524;5985918;9753243;10593107;10;10;10;10;10;0;0
Montserrat;63002;989988;969996;1130005;990021;999996;500004;0;0;1340036;51;459996;63;369996;529992;38703;550953;330538;328429;303125;298417;653125;0;0;0;0;0;0;0
Netherlands Antilles;66800019;82540023;73470006;90700046;102899994;84690027;42940003;69989993;154939987;151260034;37329996;39999996;41000004;27570001;27429996;611668;1008336;676666;82;89028252;62063441;50205091;50;70;60;60;60;60;60
Puerto Rico;88190035;255600008;141050011;149120012;199030035;67810013;164189997;108300032;988410024;1680350052;1340870039;720710014;1127920021;787589997;1002305515;1144884101;547630884;515530057;1052940612;158084521;1640530813;1220709535;1770;1660;1990;1910;1850;1150;1220
Saint Kitts and Nevis;433316;13;13;433316;433316;433316;433316;433316;3566187;1519854;2886299;3749789;3522142;502806;297383;1911612;2182407;214333;5373207;6602858;3869535;4367677;10;10;0;0;0;10;0
Saint Lucia;19660022;30570024;15299996;1793;21440061;16300043;22800008;27740106;29650047;23730004;23709998;29969997;12934567;2417987;34948735;23321575;18849007;2260327;20357119;13734334;17974856;9653271;30;20;20;20;20;30;10
Saint Vincent & the Grenadines;650011;3050067;763;6370011;3660013;6539985;5380039;6180013;942001;804;9359991;972;13149991;10909999;4981325;307278;3403977;5650007;6849798;3100591;3496033;2423852;0;0;10;10;10;0;10
Virgin Islands (UK);409999;210026;0;300021;19992;120007;480013;410011;19630034;170023;10349998;9340083;0;79928;219952;149742;180087;3800004;6;53898;27499939;2329943;0;0;0;0;0;0;0
Central America & Mexico;8,58E+15;94230003;100020038;9618006;97280032;135706754;16250335;188400131;147770196;120813593;18132334;137863334;190658242;22799854;31464855;2,58902E+16;61724219;36384345;30801031;41291827;5,08146E+15;69045791;80;120;180;220;190;210;280
Belize;45220018;48620005;54190033;54840051;56110028;96040006;96170002;147899983;107270048;74480045;134989992;91529986;110559987;1301;187;6485306;33790872;22738767;15938967;18134186;24098974;2407705;40;60;90;140;140;160;230
Bermuda;40580013;45609998;45830005;41340009;41170004;39666748;66333348;40500148;40500148;46333548;46333348;46333348;80098255;9789854;12764855;19404855;27933347;13645578;14862064;23157641;26715654;44968741;40;60;100;80;50;50;50
Europe;3204048014;17824150145;7131430134;2,2493E+16;3055759795;4105680322;6098876713;6784933499;11099857084;10132910202;11190723097;13046853121;16798582517;22026276963;24267866566;25682707417;27880777877;29820596612;37787083897;33169706877;33254442938;3117215035;30820;32170;31290;29650;31350;31130;33240
Albania;284169996;92829996;33333;59685;678020004;31302;112749999;16509995;62479993;421419991;713239986;772080012;714749998;761610011;68863125;674799233;1033422587;1127210972;1153485364;1221666575;113652596;1168118927;1230;1310;1230;1430;1540;1550;1250
Belarus;0;0;54999991;99999996;300;642210044;282640014;797389971;140340029;121709999;265239968;283769975;322389974;642709964;927231093;1632438156;2108968642;2576437595;290904968;1706071482;1798581931;1584058792;2010;2000;2570;2590;2750;3330;3830
Bosnia and Herzegovina;0;0;366000011;427000013;188500005;16450001;217860007;2004;3144820036;843650002;648039983;1141589983;1828989973;4014747566;3946882425;3679234883;4108004389;4100797781;4076622407;3423373356;3169790092;3732707886;3970;4090;3920;4080;4050;3910;4030
Georgia;0;0;0;0;0;0;0;0;446810092;500750078;428049991;349099981;343219975;421148521;809688852;860282153;813900587;1276906793;92268471;1342457248;1376933284;1471034275;1550;1680;1680;1840;1870;1950;1930
Gibraltar;25200031;24999996;9999996;9999996;6029999;6719996;16919996;8769999;8849991;1730003;4209996;1230004;24859997;10299995;91378;10373338;16499367;136162;9926167;12287973;7944703;18942146;0;10;0;20;0;30;30
Holy See;27470009;34550005;33569997;25120006;20859997;17160018;14009994;15910006;15100001;15289997;13560001;873;16099997;10820001;1073;9320001;8029945;4959999;303;28;314;253;0;0;0;0;0;0;0
Iceland;376739997;419850067;429520085;431040023;388859989;395109964;422450045;381020032;440940068;406880022;435580008;399500027;432640021;435810024;445400009;486907917;446428701;477870572;440842441;472911679;448709134;420211058;450;460;470;500;540;520;510
Moldova;0;0;54850008;8000004;8010014;16609988;28520041;52690029;44649959;2569002;32479994;137779985;129799983;228959974;83149281;113264055;15835838;250115265;270255414;277135068;346341126;385377849;400;390;450;400;510;520;610
Montenegro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1844219277;1503104695;1446921443;2062143197;2189839913;1467135536;750;830;650;650;590;590;590
North Macedonia;0;0;787580003;512620063;632880027;698450062;513920011;53162001;770770019;624190011;366669987;901150011;1079999997;1264230651;1305322374;1359624765;1322118306;144501289;1364016004;146261304;1334233391;1353829597;1480;1560;1450;1470;1530;1510;1590
Serbia;0;0;4827580043;0;0;0;1797740006;3074090017;4668200045;4512000051;6441300013;6724359983;7473009982;7728429998;8599020841;6531156035;6131361182;619835134;6900643937;5775527516;5559935159;5850792926;6050;5800;5940;5110;6110;5760;5500
Ukraine;0;0;234;13866684;83259976;185190024;26920666;170653344;1356896851;2659600028;184235317;232756316;443282262;6507510258;7442672641;10325306881;9889466514;1084621251;1828960633;15410719743;15882468245;13717411358;12940;14030;12910;11550;11840;11470;13380
USSR;20991830105;10868170054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Yugoslavia;10335070002;6383750027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
North America;22534780086;23561460111;22710120155;24889170172;28271299842;25098929919;27634559935;28638889892;34103409962;33151610043;33210669973;33769479831;31993249654;29849467903;35088544471;3588623495;38090372084;39022417613;38053839936;3896478076;4365799131;45421087531;44440;45200;49810;46980;48730;50980;51140
Canada;22534780086;23561460111;22710120155;24889170172;28271299842;25098929919;27634559935;28638889892;34103409962;33151610043;33210669973;33769479831;31993249654;29849467903;35088544471;3588623495;38090372084;39022417613;38053839936;3896478076;4365799131;45421087531;44440;45200;49810;46980;48730;50980;51140
South America;668199002;7486149977;950163006;8720280009;8435800065;8773310117;10095300115;10198510099;8,99829E+15;8784270045;9289939833;9844599678;8183959801;9463282551;9113376052;9292465178;9118218769;10079485191;9631795816;8670111984;10900791325;9764843516;10990;12020;9860;10560;9460;10700;10610
Argentina;5083609985;5774639991;6977609998;6488519955;646416004;6302280026;7115560079;7431180005;6425130046;6500679955;6292129932;6407209797;5290519864;6319279825;5861164147;596008385;5814124208;6490674873;5759269074;5623189992;6279828366;5920061024;7600;8040;5620;6320;5240;6270;5990
Chile;1156400025;1339580008;2039300013;1871550035;1537269991;2001260028;2482250001;2246120036;1983100023;1766170056;2449359938;275844994;2391099965;2567109966;2572850525;2665219846;2676488385;2859965182;3153516661;2322197748;3841979427;3054918464;2640;3200;3470;3480;3520;3760;3920
Suriname;19370001;70019999;29280037;37080012;34590034;80550023;76900016;10143003;111769982;66520009;121329984;108169986;89079997;98401356;173123973;135001534;143289602;144321587;170478195;166537479;162051029;15900255;150;190;180;160;150;100;140
Uruguay;422610009;301909979;455440012;323130007;39978;38922004;420590019;419780028;478290021;450900025;427119979;570769955;413259975;478491404;506237407;532159948;484316574;584523549;548531886;558186765;616932503;630861478;600;600;590;600;550;560;570
