Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
Gabon;3408;1752;3063;2884;7701;1768;1279;2668;3765;2057;0;822;125;3;3;691;1403;721;2067;493;18323;782;751;383;517;741;5;2563;5025
Ghana;37855;76306;36602;45381;57176;56528;32425;27275;54436;889011;76456;7285;336323;181419;181139;123749;202111;346644;264006;186085;694979;300625;208836;250741;353924;356548;261091;129667;149324
Guatemala;3270529;3496531;4318483;3535501;3787336;4001604;4524556;4219373;4892964;51201288;4939753;366896;4069953;3609931;3703026;36755298;39503303;40996768;37849658;38347868;39499335;38503876;37629331;31893714;33100759;3409781;3684209;37337261;40067343
Guinea;4446;90522;76341;63806;198357;104164;147638;171711;421266;363707;399992;235979;328229;365529;316116;524884;4729477;3226894;5047819;4992465;3864609;3855106;2335545;1011902;1651077;2864455;2699426;2291869;2484237
Guyana;0;0;0;0;0;0;0;0;59811;50876;28718;52563;52013;54252;60561;70144;75796;86174;98722;91767;91433;101884;97383;129412;93007;112231;96326;99283;100615
Honduras;1567958;2321808;1918209;1829179;218073;1909238;2004388;2564405;2195145;2985005;2666658;3036252;2495886;2967865;2575144;3204361;34612816;36397929;34499872;36029169;43306854;58821354;46859958;45830246;52682161;5785776;74568976;7559768;73278803
India;2828687;2999749;2823497;3533181;3001564;4012026;3417121;4108756;4416768;48665892;50197666;4810413;4587889;4708272;45910102;45662898;45000734;43666594;4071666;48266521;55999734;53335414;54034408;50753312;5449867;58303381;61609436;58132238;5302392
Jamaica;22574;38987;25583;34287;44598;43084;53864;47025;29083;379705;368774;30775;37123;374471;213066;342777;401196;201766;318915;250842;205548;240073;237159;198292;210512;200121;180447;190548;178543
Kenya;1485135;1514047;1315548;1328112;1663131;1664234;1246753;881965;1172882;1501891;10018641;990531;945402;673422;735583;660135;82608;652105;541075;62974;6408736;7573153;8754455;8429501;7697629;7991671;7927675;7895168;9304196
Lao People's Democratic Republic;0;0;0;0;0;0;0;0;171424;238772;212185;2581452;4020043;3614625;3794417;279646;3910986;393123;4056104;4338689;5443616;5140001;5405023;5444172;5524924;5351587;5103258;5333697;5032908
Liberia;3;3;3;5;5;5;5;5;17779;12163;12305;11833;12482;508;578;5361;67276;68511;124117;12692;104386;102354;101213;5939;70733;100467;120867;16305;73033
Mexico;4674245;4727206;3400811;5023488;4158777;5299888;5109551;4801561;4801348;62186765;48149789;4438404;4351426;42010193;38673474;42246637;42003381;41503183;46506492;41086243;40014319;45610578;43269422;39164766;36364007;27720393;36352949;44845814;43507012
Nepal;0;0;0;0;0;0;0;0;0;0;0;0;0;9;95;13;225;12574;14624;11083;30825;20111;12073;9054;21378;16763;14328;24527;6912
Nicaragua;461078;707067;547294;70613;682969;984676;793305;1083523;107308;15540548;15724326;1078752;1170017;1509098;1068077;14318115;14279262;19056714;14447342;18711206;16378216;2193421;18734749;20598628;18976828;21304221;25552981;26172854;25102795
Nigeria;2919;44313;48882;45319;51631;53038;45975;44667;53405;45067;49431;44003;49815;461504;451379;685718;507351;421658;500048;342687;420553;468796;407637;408582;427982;412782;433182;422881;416208
Panama;214987;192532;196978;142066;248313;209448;210742;217469;191996;166381;170226;159939;139962;172062;903892;1763307;1731015;1760553;1491609;1377393;1138499;1056314;1155198;1134685;1062169;1270784;1201902;1045621;1303021
Sierra Leone;42783;54379;39084;37451;72738;43768;4091;49679;26882;5902;49155;792;417289;355163;145255;599662;31472;400011;862856;907017;329146;782979;611833;317346;464478;459276;379217;379464;309901
Sri Lanka;9587;81549;53181;5379;42448;35595;36999;57584;45738;31716;3328;31531;343807;368942;316437;349432;32875;334906;308644;315032;370877;356993;352484;370825;357018;361933;367161;367829;360659
Thailand;757017;1468936;1254945;1275201;1399135;1317226;1403581;1293076;915986;12728378;16922342;7145;7319;826567;884383;10639651;8224689;6504208;6745626;7947965;8281734;8312755;6080946;6380038;8448871;7619808;5375435;6382325;4820069
Togo;161308;432652;85648;194939;176296;84401;290586;221078;321486;262808;197401;112018;68205;143792;165522;1400759;13395;125131;1377531;2018831;1602912;160047;840589;1715059;1432417;809232;232772;1147158;743319
Trinidad & Tobago;14581;17792;14328;16079;18435;17629;18188;19392;17018;1689;16393;16165;165524;160967;151235;148624;116981;121349;114194;114069;103587;111577;122272;122242;120013;117897;117911;120009;123647
Uganda;1955009;2088001;2185074;3141706;2392753;3243584;3418724;3439868;3385839;2862447;3400683;3157777;2890058;2598532;2612619;2175201;289416;3489648;3335167;2893876;3267232;3115063;3913502;3632867;3744477;3649567;4962158;4596813;4703964
Venezuela;1122477;940704;1215298;1332881;988996;1466554;1206162;951285;1597279;1366835;1449924;1264613;14835896;14205247;13265336;15063009;15708961;15204505;9324219;12137061;12021338;9020717;9524201;8037688;6503983;5001259;525;5715128;5252602
Viet Nam;1310288;1437848;2340447;3020216;3631609;3970086;5752481;6978942;7051722;116309138;14841309;13093244;11573935;15337352;14370453;138418363;193397501;164050988;184381201;178253453;199999999;264996111;234021057;276097814;264998404;287365941;255402932;278876555;311740742
Yemen;0;0;0;0;0;0;0;0;687007;60579;63936;622185;567446;1933027;2055589;2031808;207234;1979537;2197968;1351816;1611675;1850677;1875251;1872981;1783814;156246;1434533;1321281;1060735
