Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
India;1510687;2024082;1817497;2906848;2069564;3553026;2476121;3684756;3426768;42965892;37047666;3441313;3566889;3826272;27900102;34102898;33930734;33886594;2953666;42736521;55939734;51715414;48594408;50953312;5114867;58613381;63709436;63952238;6022392
Jamaica;15574;19987;26313;17036;2434;27263;27276;20481;21312;295485;288334;27793;24943;266311;209576;205457;219346;239226;248915;160842;165548;150073;147159;108292;120512;110121;90447;100548;88543
Kenya;1649401;1399081;1411908;1459785;1325306;1895485;1389327;805965;1096098;1195729;12334641;793244;877889;820405;658746;620135;79108;627105;541075;50674;6548736;7273153;8194455;7829501;7197629;7391671;7227675;7215168;8434196
Lao People's Democratic Republic;98333;1009707;1317127;1501667;1621747;1494335;118604;1112867;171424;238772;212185;2581452;2440043;2584625;2444417;139646;2510986;253123;2566104;2908689;4003616;3640001;3905023;3944172;4024924;3851587;3603258;3783697;3482908
Liberia;0;0;0;0;0;0;0;0;12779;7163;7305;6833;7482;8;78;361;17276;18511;74117;7692;54386;52354;51213;939;20733;50467;70867;11305;23033
Mexico;3526245;3290206;2884561;3270738;3257777;4578888;4383551;3882561;4136348;51636765;36369789;2893404;2562426;24230193;19073474;25076637;28933381;25553183;27746492;25666243;27274319;33920578;33529422;24574766;25034007;21800393;27072949;30755814;26767012
Nepal;355;37;516;1333;4772;2083;1375;75;83;1;1334;2084;28468;31144;24434;26441;35308;24793;17141;11083;30825;20111;12073;9054;21378;16763;14328;15527;15912
Nicaragua;419916;592629;516694;59073;563569;897702;701911;956281;95482;13243318;14449036;920141;978466;1270364;1015113;14270265;12126002;16399644;14325182;16958036;15356686;1675531;19803289;18233928;18097368;19429041;23205581;24242854;25002795
Nigeria;169;8563;13132;5319;11631;13038;5975;4667;13405;5067;9431;4003;9815;61504;51379;285718;107351;21658;20048;22687;20553;68796;7637;8582;27982;12782;33182;22881;16208
Panama;129987;1047;14981;94356;143577;151207;118428;141854;146996;77604;70003;77939;84093;104931;813892;1093307;1121015;1190553;651609;637393;558499;486314;485198;484685;432169;600784;541902;355621;623021
Sierra Leone;86783;74379;43084;64451;67738;35768;3291;44679;21882;4702;34155;742;367289;305163;165255;549662;34472;370011;662856;977017;279146;742979;561833;267346;414478;409276;329217;279464;279901
Sri Lanka;33203;19549;7181;4779;22448;16595;19999;19584;26738;2716;428;2531;53807;78942;26437;59432;3875;34906;8644;15032;20877;6993;2484;20825;7018;11933;17161;17829;10659
Thailand;433017;1182936;1041945;1105201;1208885;893343;1103414;784976;417336;9617208;11844012;2598;1986;3486;3421;6232151;3844689;1504208;1835626;2887965;3281734;3292755;1130946;263368;3835541;3009808;1375435;2362325;1800069
Togo;180808;316152;213648;193939;199113;84051;290119;177526;310176;279091;194814;113584;77705;151509;149588;1263929;14695;134131;1417531;2019791;1591452;151254;828829;1341519;1833798;732862;317902;1094618;790779
Trinidad & Tobago;11581;1999;4621;10079;4435;3629;4188;4642;3768;289;2393;2165;25524;20967;11235;8624;6981;11349;4194;4069;3587;11577;22272;22242;20013;17897;17911;20009;23647
Uganda;2085009;2013001;2010074;3066706;2792753;4213584;4237014;3032338;3647669;2917257;3075093;3153157;2809948;2523062;2488819;2001974;2704236;3209995;3053688;2668971;315009;2726949;3583259;3499829;3455252;3315567;4605158;4359013;4453964
Venezuela;132087;112679;478873;445951;65596;454094;183982;79675;582439;112895;25934;130543;2973196;1798447;291436;478009;677861;1461205;221619;192481;21338;20717;24201;37688;3983;1259;0;715128;2602
Viet Nam;1146288;1317848;2175447;2753216;3206609;3679241;5421965;6614884;6687203;108972468;14606351;11965712;11555093;14497173;13994097;131218362;180897501;157740988;173861201;145913453;168499999;217056111;206647162;249023404;212938404;264365941;235402932;259876555;264740742
Yemen;725002;456585;47387;823433;808655;507238;703435;730405;687007;60579;63936;622185;567446;473027;695589;651808;69234;679537;467968;431816;361675;550677;575251;572981;533814;41246;434533;421281;410735
